system:index,NDVI,temperature,.geo
26,0.34306731820106506,32.58159809000006,"{""type"":""Point"",""coordinates"":[76.37498429316881,9.901763740990516]}"
27,0.19122809171676636,36.450796730000036,"{""type"":""Point"",""coordinates"":[76.35945086592089,9.999651249239896]}"
28,-0.024572746828198433,30.036882200000036,"{""type"":""Point"",""coordinates"":[76.24262506958485,9.891225618716428]}"
29,-0.03688346594572067,30.99392780000005,"{""type"":""Point"",""coordinates"":[76.2627072035587,9.896132267933494]}"
30,-0.014679205603897572,30.85378898000002,"{""type"":""Point"",""coordinates"":[76.27213750299639,10.000837396039696]}"
31,0.28343474864959717,36.48668594000003,"{""type"":""Point"",""coordinates"":[76.27697154750776,9.901635309402154]}"
32,0.14439064264297485,37.75135334000004,"{""type"":""Point"",""coordinates"":[76.31457907600404,10.002010350491975]}"
33,-0.005626849830150604,29.879653280000014,"{""type"":""Point"",""coordinates"":[76.21424269287446,9.810463170594991]}"
34,0.15200191736221313,39.140778470000015,"{""type"":""Point"",""coordinates"":[76.28268950350758,9.971293581391489]}"
35,0.32843783497810364,33.57111488000001,"{""type"":""Point"",""coordinates"":[76.33081115181132,9.966527793570087]}"
36,-0.0025078135076910257,30.58376540000006,"{""type"":""Point"",""coordinates"":[76.29434052274324,9.815777245465796]}"
37,0.28493621945381165,34.71444257000002,"{""type"":""Point"",""coordinates"":[76.33644832856673,9.98137042089561]}"
38,-0.04184897243976593,30.429954500000008,"{""type"":""Point"",""coordinates"":[76.20530915226531,10.03223807125194]}"
39,0.1291903853416443,38.10682742000006,"{""type"":""Point"",""coordinates"":[76.31205276255939,9.985194500113694]}"
40,0.1478491574525833,41.14373819000002,"{""type"":""Point"",""coordinates"":[76.34725321891182,9.979917472958471]}"
41,-0.014084859751164913,30.175312010000027,"{""type"":""Point"",""coordinates"":[76.24483574172409,9.85569202384796]}"
42,0.22517012059688568,37.836803840000016,"{""type"":""Point"",""coordinates"":[76.37478684136369,9.925806190586878]}"
43,0.3098980188369751,32.70293780000003,"{""type"":""Point"",""coordinates"":[76.37394520474143,10.01134122598899]}"
